DATE,Dollar
2020-02-11,116.4006
2020-02-10,116.6098
2020-02-07,116.5423
2020-02-06,116.1858
2020-02-05,116.0372
2020-02-04,115.9542
2020-02-03,116.14
2020-01-31,115.7734
2020-01-30,115.8453
2020-01-29,115.7383
2020-01-28,115.7651
2020-01-27,115.8516
2020-01-24,115.5998
2020-01-23,115.5919
2020-01-22,115.2673
2020-01-21,115.2304
2020-01-17,115.1189
2020-01-16,115.0496
2020-01-15,115.0001
2020-01-14,115.0695
2020-01-13,115.0775
2020-01-10,115.0915
2020-01-09,115.2575
2020-01-08,115.1403
2020-01-07,115.1616
2020-01-06,114.9566
2020-01-03,114.9904
2020-01-02,114.9799
2019-12-31,114.6724
2019-12-30,114.9663
2019-12-27,115.2231
2019-12-26,115.6368
2019-12-23,115.8082
2019-12-20,115.762
2019-12-19,115.6017
2019-12-18,115.6645
2019-12-17,115.5582
2019-12-16,115.5585
2019-12-13,115.7006
2019-12-12,115.878
2019-12-11,116.1522
2019-12-10,116.2587
2019-12-09,116.3326
2019-12-06,116.5427
2019-12-05,116.3895
2019-12-04,116.6976
2019-12-03,116.8951
2019-12-02,116.97
2019-11-29,117.1249
2019-11-27,117.1318
2019-11-26,117.0559
2019-11-25,117.0138
2019-11-22,116.9175
2019-11-21,116.748
2019-11-20,116.8327
2019-11-19,116.5433
2019-11-18,116.3664
2019-11-15,116.4431
2019-11-14,116.8051
2019-11-13,116.8422
2019-11-12,116.5857
2019-11-08,116.3456
2019-11-07,116.1196
2019-11-06,116.1033
2019-11-05,116.1167
2019-11-04,115.8661
2019-11-01,115.7345
2019-10-31,115.916
2019-10-30,116.167
2019-10-29,115.9832
2019-10-28,116.0253
2019-10-25,116.0801
2019-10-24,116.1308
2019-10-23,116.0623
2019-10-22,115.9892
2019-10-21,116.0481
2019-10-18,116.139
2019-10-17,116.266
2019-10-16,116.6469
2019-10-15,116.815
2019-10-11,116.8287
2019-10-10,117.2843
2019-10-09,117.6873
2019-10-08,117.7437
2019-10-07,117.5572
2019-10-04,117.5329
2019-10-03,117.6659
2019-10-02,117.9723
2019-10-01,117.9644
2019-09-30,117.9511
2019-09-27,117.7268
2019-09-26,117.7313
2019-09-25,117.6568
2019-09-24,117.2269
2019-09-23,117.3026
2019-09-20,117.1858
2019-09-19,117.0905
2019-09-18,116.9803
2019-09-17,116.9863
2019-09-16,117.0277
2019-09-13,116.771
2019-09-12,116.8408
2019-09-11,117.3154
2019-09-10,117.0919
2019-09-09,117.064
2019-09-06,117.1324
2019-09-05,117.4818
2019-09-04,117.6767
2019-09-03,118.3152
2019-08-30,118.1629
2019-08-29,118.0691
2019-08-28,117.8829
2019-08-27,117.7564
2019-08-26,117.6719
2019-08-23,117.3064
2019-08-22,117.36
2019-08-21,117.1799
2019-08-20,117.376
2019-08-19,117.3922
2019-08-16,117.0806
2019-08-15,117.2263
2019-08-14,117.0944
2019-08-13,116.7306
2019-08-12,116.7593
2019-08-09,116.445
2019-08-08,116.4778
2019-08-07,116.8036
2019-08-06,116.6946
2019-08-05,116.5889
2019-08-02,116.1869
2019-08-01,116.0495
2019-07-31,115.4941
2019-07-30,115.6213
2019-07-29,115.5886
2019-07-26,115.5447
2019-07-25,115.2984
2019-07-24,115.2436
2019-07-23,115.2996
2019-07-22,115.0024
2019-07-19,114.8698
2019-07-18,114.8749
2019-07-17,114.8829
2019-07-16,115.0122
2019-07-15,114.6832
2019-07-12,114.7697
2019-07-11,114.8381
2019-07-10,115.0906
2019-07-09,115.102
2019-07-08,115.0257
2019-07-05,115.1139
2019-07-03,114.8149
2019-07-02,114.8278
2019-07-01,114.7257
2019-06-28,114.5854
2019-06-27,114.6683
2019-06-26,114.5639
2019-06-25,114.6394
2019-06-24,114.6587
2019-06-21,114.8389
2019-06-20,114.8054
2019-06-19,115.7905
2019-06-18,115.8805
2019-06-17,115.9701
2019-06-14,115.907
2019-06-13,115.6298
2019-06-12,115.4408
2019-06-11,115.3826
2019-06-10,115.5035
2019-06-07,115.7426
2019-06-06,115.9823
2019-06-05,116.0332
2019-06-04,116.094
2019-06-03,116.48
2019-05-31,116.7296
2019-05-30,116.3988
2019-05-29,116.5543
2019-05-28,116.3194
2019-05-24,116.0824
2019-05-23,116.2382
2019-05-22,116.2426
2019-05-21,116.2865
2019-05-20,116.3151
2019-05-17,116.4513
2019-05-16,116.0371
2019-05-15,115.8591
2019-05-14,115.9453
2019-05-13,115.9178
2019-05-10,115.5365
2019-05-09,115.8456
2019-05-08,115.5189
2019-05-07,115.6129
2019-05-06,115.3825
2019-05-03,115.2658
2019-05-02,115.5631
2019-05-01,115.0029
2019-04-30,115.3292
2019-04-29,115.523
2019-04-26,115.4761
2019-04-25,115.771
2019-04-24,115.4192
2019-04-23,115.1586
2019-04-22,114.7701
2019-04-19,114.6977
2019-04-18,114.7073
2019-04-17,114.5153
2019-04-16,114.6774
2019-04-15,114.4961
2019-04-12,114.3537
2019-04-11,114.6307
2019-04-10,114.4271
2019-04-09,114.5326
2019-04-08,114.6899
2019-04-05,114.9732
2019-04-04,114.9707
2019-04-03,114.7222
2019-04-02,115.1175
2019-04-01,114.9365
2019-03-29,115.1379
2019-03-28,115.2599
2019-03-27,115.126
2019-03-26,114.6421
2019-03-25,114.4175
2019-03-22,114.6866
2019-03-21,114.169
2019-03-20,114.152
2019-03-19,114.2338
2019-03-18,114.4398
2019-03-15,114.5842
2019-03-14,114.7925
2019-03-13,114.7397
2019-03-12,114.9404
2019-03-11,115.298
2019-03-08,115.3612
2019-03-07,115.494
2019-03-06,114.9736
2019-03-05,114.805
2019-03-04,114.6937
2019-03-01,114.5388
2019-02-28,114.2005
2019-02-27,114.0371
2019-02-26,114.0695
2019-02-25,114.1455
2019-02-22,114.2718
2019-02-21,114.5101
2019-02-19,114.5702
2019-02-15,114.9918
2019-02-14,115.1002
2019-02-13,114.9406
2019-02-12,114.7297
2019-02-11,115.0305
2019-02-08,114.499
2019-02-07,114.4329
2019-02-06,114.2298
2019-02-05,114.0428
2019-02-04,113.8766
2019-02-01,113.7552
2019-01-31,113.5495
2019-01-30,114.0725
2019-01-29,114.0241
2019-01-28,114.0509
2019-01-25,114.018
2019-01-24,114.6144
2019-01-23,114.575
2019-01-22,114.7528
2019-01-18,114.5563
2019-01-17,114.4095
2019-01-16,114.1341
2019-01-15,114.337
2019-01-11,114.0388
2019-01-10,114.0489
2019-01-09,114.1406
2019-01-08,114.7279
2019-01-07,114.5626
2019-01-04,114.9817
2019-01-03,115.4615
2019-01-02,115.7674
2018-12-31,115.5681
2018-12-28,115.7239
2018-12-27,115.9936
2018-12-26,116.1172
2018-12-24,116.219
2018-12-21,116.2233
2018-12-20,116.0194
2018-12-19,116.0691
2018-12-18,116.4141
2018-12-17,116.4543
2018-12-14,116.7911
2018-12-13,116.3989
2018-12-12,116.2225
2018-12-11,116.7578
2018-12-10,116.6761
2018-12-07,116.0861
2018-12-06,116.4004
2018-12-04,116.0042
2018-12-03,115.9068
2018-11-30,116.414
2018-11-29,116.1973
2018-11-28,116.8349
2018-11-27,116.9008
2018-11-26,116.6216
2018-11-23,116.4717
2018-11-21,116.0927
2018-11-20,116.237
2018-11-19,115.9865
2018-11-16,115.926
2018-11-15,116.3866
2018-11-14,116.4973
2018-11-13,116.6684
2018-11-09,116.477
2018-11-08,115.6473
2018-11-07,115.2515
2018-11-06,115.5616
2018-11-05,115.7022
2018-11-02,115.6422
2018-11-01,115.8648
2018-10-31,116.5271
2018-10-30,116.2351
2018-10-29,115.8926
2018-10-26,115.4716
2018-10-25,115.482
2018-10-24,115.3743
2018-10-23,115.1642
2018-10-22,115.1774
2018-10-19,114.8561
2018-10-18,114.8151
2018-10-17,114.1743
2018-10-16,113.8953
2018-10-15,114.0436
2018-10-12,114.3681
2018-10-11,114.4062
2018-10-10,114.6055
2018-10-09,114.6566
2018-10-05,114.5607
2018-10-04,114.6871
2018-10-03,114.1574
2018-10-02,113.8962
2018-10-01,113.8247
2018-09-28,113.8093
2018-09-27,113.9801
2018-09-26,113.6754
2018-09-25,113.7219
2018-09-24,113.5314
2018-09-21,113.5111
2018-09-20,113.4999
2018-09-19,113.6541
2018-09-18,113.7745
2018-09-17,113.9166
2018-09-14,114.067
2018-09-13,113.9281
2018-09-12,114.2199
2018-09-11,114.7057
2018-09-10,114.6804
2018-09-07,114.5819
2018-09-06,114.6489
2018-09-05,114.7493
2018-09-04,114.86
2018-08-31,114.2768
2018-08-30,114.0918
2018-08-29,113.6482
2018-08-28,113.3469
2018-08-27,113.2744
2018-08-24,113.6009
2018-08-23,114.0948
2018-08-22,113.6646
2018-08-21,113.8617
2018-08-20,114.3513
2018-08-17,114.5346
2018-08-16,114.6422
2018-08-15,115.1527
2018-08-14,114.6582
2018-08-13,114.8515
2018-08-10,114.3013
2018-08-09,113.3819
2018-08-08,113.1424
2018-08-07,112.9772
2018-08-06,113.2299
2018-08-03,113.0131
2018-08-02,113.1692
2018-08-01,112.8916
2018-07-31,112.7318
2018-07-30,112.6061
2018-07-27,112.8141
2018-07-26,112.9194
2018-07-25,112.9236
2018-07-24,113.2061
2018-07-23,113.4266
2018-07-20,113.3236
2018-07-19,113.9491
2018-07-18,113.3377
2018-07-17,113.1533
2018-07-16,112.8465
2018-07-13,113.0733
2018-07-12,112.7818
2018-07-11,112.8608
2018-07-10,112.5821
2018-07-09,112.6455
2018-07-06,112.6454
2018-07-05,112.9785
2018-07-03,113.3247
2018-07-02,114.1701
2018-06-29,113.2614
2018-06-28,113.8431
2018-06-27,113.8998
2018-06-26,113.3039
2018-06-25,113.2886
2018-06-22,113.3073
2018-06-21,113.6136
2018-06-20,113.4812
2018-06-19,113.6417
2018-06-18,113.4931
2018-06-15,113.3413
2018-06-14,112.8629
2018-06-13,112.2615
2018-06-12,112.2172
2018-06-11,112.1142
2018-06-08,112.1103
2018-06-07,112.0773
2018-06-06,111.7567
2018-06-05,112.2675
2018-06-04,111.828
2018-06-01,111.8296
2018-05-31,111.992
2018-05-30,111.6758
2018-05-29,112.2146
2018-05-25,111.5867
2018-05-24,111.491
2018-05-23,111.6958
2018-05-22,111.1974
2018-05-21,111.6426
2018-05-18,111.72
2018-05-17,111.3576
2018-05-16,111.3099
2018-05-15,111.2322
2018-05-14,110.4115
2018-05-11,110.288
2018-05-10,110.4081
2018-05-09,110.8842
2018-05-08,111.0656
2018-05-07,110.575
2018-05-04,110.2529
2018-05-03,110.1832
2018-05-02,110.165
2018-05-01,109.7471
2018-04-30,109.3388
2018-04-27,109.176
2018-04-26,109.3668
2018-04-25,109.347
2018-04-24,108.7932
2018-04-23,108.9353
2018-04-20,108.1809
2018-04-19,107.5217
2018-04-18,107.1114
2018-04-17,107.0355
2018-04-16,107.0606
2018-04-13,107.238
2018-04-12,107.2917
2018-04-11,107.1237
2018-04-10,107.367
2018-04-09,107.5329
2018-04-06,107.7901
2018-04-05,107.7297
2018-04-04,107.6378
2018-04-03,107.564
2018-04-02,107.7049
2018-03-30,107.48
2018-03-29,107.6668
2018-03-28,107.575
2018-03-27,107.3375
2018-03-26,107.183
2018-03-23,107.7504
2018-03-22,107.9942
2018-03-20,108.4965
2018-03-19,108.3157
2018-03-16,108.4347
2018-03-15,108.2048
2018-03-14,107.864
2018-03-13,107.7398
2018-03-12,107.9452
2018-03-09,107.9243
2018-03-08,108.2685
2018-03-07,108.0927
2018-03-06,107.7982
2018-03-05,108.3626
2018-03-01,108.5365
2018-02-28,108.3909
2018-02-27,108.1736
2018-02-26,107.7355
2018-02-23,107.6805
2018-02-22,107.8672
2018-02-21,107.8683
2018-02-20,107.6251
2018-02-16,107.036
2018-02-15,106.9869
2018-02-14,107.4695
2018-02-13,107.7577
2018-02-12,108.0336
2018-02-09,108.2581
2018-02-08,108.3022
2018-02-07,107.7181
2018-02-06,107.5212
2018-02-05,107.3306
2018-02-02,107.1152
2018-02-01,106.4877
2018-01-31,106.7696
2018-01-30,107.1063
2018-01-29,107.1142
2018-01-26,106.691
2018-01-25,106.5056
2018-01-24,107.0806
2018-01-23,107.999
2018-01-22,108.1078
2018-01-19,107.9463
2018-01-18,108.0663
2018-01-17,108.1536
