Date,Price,21
1922.11,141.85,
1922.12,140.69,
1923.01,143.46,
1923.02,149.59,
1923.03,152.00,
1923.04,145.82,
1923.05,138.93,
1923.06,132.85,
1923.07,126.90,
1923.08,128.27,
1923.09,128.32,
1923.1,125.70,
1923.11,129.45,
1923.12,133.84,
1924.01,138.22,
1924.02,139.65,
1924.03,137.78,
1924.04,135.40,
1924.05,134.92,
1924.06,137.47,
1924.07,143.00,
1924.08,148.78,
1924.09,146.49,
1924.1,143.74,
1924.11,151.77,
1924.12,159.04,
1925.01,165.61,
1925.02,167.99,
1925.03,162.64,
1925.04,161.85,
1925.05,166.08,
1925.06,167.12,
1925.07,169.82,
1925.08,172.12,
1925.09,176.10,
1925.1,181.91,
1925.11,184.45,
1925.12,188.50,
1926.01,191.38,
1926.02,191.68,
1926.03,179.67,
1926.04,173.68,
1926.05,175.87,
1926.06,185.28,
1926.07,195.29,
1926.08,204.19,
1926.09,206.12,
1926.1,200.33,
1926.11,201.80,
1926.12,206.39,
1927.01,207.36,
1927.02,212.59,
1927.03,217.11,
1927.04,222.43,
1927.05,228.78,
1927.06,229.10,
1927.07,238.24,
1927.08,252.38,
1927.09,265.17,
1927.1,259.60,
1927.11,267.04,
1927.12,273.31,
1928.01,274.40,
1928.02,274.28,
1928.03,289.01,
1928.04,307.22,
1928.05,314.88,
1928.06,301.21,
1928.07,303.42,
1928.08,313.24,
1928.09,331.38,
1928.1,340.08,
1928.11,363.06,
1928.12,366.61,
1929.01,393.69,
1929.02,395.75,
1929.03,405.09,
1929.04,405.08,
1929.05,408.75,
1929.06,414.12,
1929.07,445.80,
1929.08,471.16,
1929.09,489.95,
1929.1,438.13,
1929.11,322.14,
1929.12,336.93,
1930.01,343.81,
1930.02,367.49,
1930.03,383.61,
1930.04,405.56,
1930.05,383.61,
1930.06,346.88,
1930.07,343.56,
1930.08,341.21,
1930.09,338.99,
1930.1,294.11,
1930.11,274.43,
1930.12,260.88,
1931.01,272.16,
1931.02,296.67,
1931.03,304.30,
1931.04,277.09,
1931.05,253.63,
1931.06,248.74,
1931.07,256.99,
1931.08,249.28,
1931.09,213.57,
1931.1,186.29,
1931.11,191.40,
1931.12,156.55,
1932.01,157.18,
1932.02,158.06,
1932.03,159.77,
1932.04,122.35,
1932.05,108.91,
1932.06,94.98,
1932.07,99.76,
1932.08,151.05,
1932.09,166.93,
1932.1,144.97,
1932.11,144.63,
1932.12,140.98,
1933.01,148.84,
1933.02,133.27,
1933.03,133.90,
1933.04,148.08,
1933.05,190.64,
1933.06,221.54,
1933.07,232.14,
1933.08,218.90,
1933.09,217.05,
1933.1,195.92,
1933.11,200.64,
1933.12,204.54,
1934.01,216.23,
1934.02,230.49,
1934.03,218.68,
1934.04,222.34,
1934.05,199.74,
1934.06,200.88,
1934.07,191.38,
1934.08,183.90,
1934.09,176.82,
1934.1,179.53,
1934.11,184.55,
1934.12,187.14,
1935.01,184.38,
1935.02,177.50,
1935.03,166.24,
1935.04,177.39,
1935.05,191.33,
1935.06,200.04,
1935.07,210.51,
1935.08,224.74,
1935.09,229.49,
1935.1,235.62,
1935.11,255.89,
1935.12,255.89,
1936.01,270.02,
1936.02,285.52,
1936.03,293.73,
1936.04,294.13,
1936.05,278.51,
1936.06,288.27,
1936.07,303.14,
1936.08,306.97,
1936.09,310.45,
1936.1,326.70,
1936.11,335.79,
1936.12,329.99,
1937.01,337.83,
1937.02,347.82,
1937.03,344.98,
1937.04,322.12,
1937.05,305.59,
1937.06,294.12,
1937.07,309.46,
1937.08,312.63,
1937.09,266.53,
1937.1,227.77,
1937.11,209.17,
1937.12,207.24,
1938.01,215.69,
1938.02,212.03,
1938.03,198.01,
1938.04,188.61,
1938.05,191.67,
1938.06,196.09,
1938.07,235.08,
1938.08,236.42,
1938.09,225.67,
1938.1,252.62,
1938.11,252.81,
1938.12,245.46,
1939.01,241.79,
1939.02,241.58,
1939.03,241.38,
1939.04,212.52,
1939.05,220.37,
1939.06,224.29,
1939.07,229.79,
1939.08,226.45,
1939.09,245.26,
1939.1,249.52,
1939.11,245.07,
1939.12,239.27,
1940.01,239.63,
1940.02,236.37,
1940.03,235.02,
1940.04,237.34,
1940.05,204.65,
1940.06,185.72,
1940.07,193.24,
1940.08,197.30,
1940.09,205.62,
1940.1,207.55,
1940.11,212.39,
1940.12,202.24,
1941.01,202.62,
1941.02,189.94,
1941.03,189.75,
1941.04,182.55,
1941.05,177.34,
1941.06,179.80,
1941.07,189.01,
1941.08,185.56,
1941.09,183.64,
1941.1,173.99,
1941.11,164.77,
1941.12,153.05,
1942.01,154.03,
1942.02,148.25,
1942.03,138.45,
1942.04,131.87,
1942.05,131.75,
1942.06,138.39,
1942.07,142.67,
1942.08,140.98,
1942.09,142.46,
1942.1,151.13,
1942.11,152.65,
1942.12,152.55,
1943.01,161.68,
1943.02,171.29,
1943.03,174.29,
1943.04,178.04,
1943.05,183.99,
1943.06,187.24,
